Date,KO,^NDX
2017-03-31,37.2134895324707,5436.22998046875
2017-04-03,37.18717956542969,5432.2001953125
2017-04-04,37.4239387512207,5440.41015625
2017-04-05,37.32747268676758,5418.52001953125
2017-04-06,37.41515350341797,5420.8798828125
2017-04-07,37.362552642822266,5418.3701171875
2017-04-10,37.43269348144531,5421.68017578125
2017-04-11,37.4063835144043,5398.39990234375
2017-04-12,37.65190887451172,5377.02978515625
2017-04-13,37.52037811279297,5353.58984375
2017-04-17,37.765899658203125,5399.2001953125
2017-04-18,38.12540817260742,5391.66015625
2017-04-19,37.906192779541016,5399.64013671875
2017-04-20,37.78343963623047,5443.52978515625
2017-04-21,37.765899658203125,5442.0498046875
2017-04-24,37.95003890991211,5508.02978515625
2017-04-25,37.80097579956055,5548.18994140625
2017-04-26,37.91496276855469,5541.08984375
2017-04-27,37.713287353515625,5571.27978515625
2017-04-28,37.8360481262207,5583.52978515625
2017-05-01,37.89742660522461,5629.6298828125
2017-05-02,38.046485900878906,5644.06982421875
2017-05-03,37.98511505126953,5625.16015625
2017-05-04,38.283241271972656,5626.31982421875
2017-05-05,38.309539794921875,5646.08984375
2017-05-08,38.48490905761719,5659.06982421875
2017-05-09,38.15171432495117,5678.31005859375
2017-05-10,38.20432662963867,5681.68017578125
2017-05-11,38.2920036315918,5674.22021484375
2017-05-12,38.22186279296875,5686.81005859375
2017-05-15,38.34462356567383,5704.47998046875
2017-05-16,38.449832916259766,5724.43994140625
2017-05-17,38.51999282836914,5580.5498046875
2017-05-18,38.4059944152832,5626.31005859375
2017-05-19,38.49368667602539,5651.56005859375
2017-05-22,38.73920440673828,5699.39990234375
2017-05-23,38.923343658447266,5703.35009765625
2017-05-24,39.48452377319336,5730.2998046875
2017-05-25,39.81772232055664,5778.3701171875
2017-05-26,39.80019760131836,5788.35986328125
2017-05-30,39.83526611328125,5794.6298828125
2017-05-31,39.870338439941406,5788.7998046875
2017-06-01,40.15092468261719,5816.509765625
2017-06-02,40.23862075805664,5881.4599609375
2017-06-05,40.32630157470703,5878.1201171875
2017-06-06,40.317535400390625,5856.77001953125
2017-06-07,39.90541076660156,5877.58984375
2017-06-08,39.57221221923828,5885.2998046875
2017-06-09,39.73881530761719,5741.93994140625
2017-06-12,39.74757766723633,5708.18017578125
2017-06-13,39.80946350097656,5751.81982421875
2017-06-14,40.04815673828125,5727.06982421875
2017-06-15,40.00395584106445,5700.89013671875
2017-06-16,40.05699920654297,5681.47998046875
2017-06-19,40.118892669677734,5772.22021484375
2017-06-20,40.32221984863281,5726.31005859375
2017-06-21,39.97743606567383,5782.39013671875
2017-06-22,39.84483337402344,5779.8701171875
2017-06-23,40.00395584106445,5803.10986328125
2017-06-26,40.163089752197266,5777.58984375
2017-06-27,39.827144622802734,5671.60009765625
2017-06-28,40.065853118896484,5753.02978515625
2017-06-29,39.63264846801758,5653.02001953125
2017-06-30,39.65032958984375,5646.919921875
2017-07-03,39.570762634277344,5596.9599609375
2017-07-05,39.62380599975586,5648.81982421875
2017-07-06,39.252506256103516,5597.89990234375
2017-07-07,39.2436637878418,5656.47021484375
2017-07-10,39.234825134277344,5694.14990234375
2017-07-11,39.190616607666016,5709.7998046875
2017-07-12,39.34975051879883,5778.9501953125
2017-07-13,39.279022216796875,5793.35986328125
2017-07-14,39.50004196166992,5838.080078125
2017-07-17,39.54424285888672,5839.740234375
2017-07-18,39.4911994934082,5880.10009765625
2017-07-19,39.63264846801758,5916.16015625
2017-07-20,39.62380599975586,5921.22021484375
2017-07-21,39.80946350097656,5921.52978515625
2017-07-24,39.6414909362793,5941.3701171875
2017-07-25,39.995121002197266,5930.64990234375
2017-07-26,40.43715286254883,5950.72998046875
2017-07-27,40.77309799194336,5917.02978515625
2017-07-28,40.67584228515625,5908.919921875
2017-07-31,40.52555847167969,5880.330078125
2017-08-01,40.40179443359375,5895.169921875
2017-08-02,40.304542541503906,5914.22998046875
2017-08-03,40.37526321411133,5891.2001953125
2017-08-04,40.224979400634766,5899.91015625
2017-08-07,40.3487434387207,5934.72998046875
2017-08-08,40.313377380371094,5926.35009765625
2017-08-09,40.304542541503906,5919.39013671875
2017-08-10,40.43715286254883,5788.18994140625
2017-08-11,40.304542541503906,5831.52978515625
2017-08-14,40.49019241333008,5908.169921875
2017-08-15,40.83497619628906,5907.72998046875
2017-08-16,40.84381866455078,5917.419921875
2017-08-17,40.543243408203125,5796.31982421875
2017-08-18,40.37526321411133,5790.91015625
2017-08-21,40.38410568237305,5786.5400390625
2017-08-22,40.313377380371094,5873.330078125
2017-08-23,40.26033401489258,5851.77978515625
2017-08-24,40.145408630371094,5834.43994140625
2017-08-25,40.286869049072266,5822.52978515625
2017-08-28,40.15424728393555,5838.080078125
2017-08-29,40.18077850341797,5862.14013671875
2017-08-30,40.12773132324219,5932.89990234375
2017-08-31,40.26918411254883,5988.60009765625
2017-09-01,40.472511291503906,5987.89990234375
2017-09-05,40.59628677368164,5932.72998046875
2017-09-06,40.63164138793945,5951.1298828125
2017-09-07,40.91455078125,5964.31005859375
2017-09-08,40.93222427368164,5913.3701171875
2017-09-11,41.12671661376953,5980.52978515625
2017-09-12,41.303531646728516,5995.64013671875
2017-09-13,41.4361457824707,6004.3798828125
2017-09-14,41.088619232177734,5968.81982421875
2017-09-15,41.15099334716797,5988.0
2017-09-18,41.088619232177734,5981.1201171875
2017-09-19,40.972774505615234,5991.080078125
2017-09-20,40.794551849365234,5973.60986328125
2017-09-21,40.4559326171875,5934.91015625
2017-09-22,40.53614044189453,5932.31982421875
2017-09-25,40.714351654052734,5867.35009765625
2017-09-26,40.607425689697266,5881.33984375
2017-09-27,39.77870559692383,5937.7900390625
2017-09-28,40.01929473876953,5933.06982421875
2017-09-29,40.108402252197266,5979.2998046875
2017-10-02,39.92127227783203,5981.919921875
2017-10-03,40.268798828125,5995.06005859375
2017-10-04,40.545047760009766,5998.83984375
2017-10-05,40.562870025634766,6057.14013671875
2017-10-06,40.53614044189453,6064.56982421875
2017-10-09,40.464847564697266,6058.52978515625
2017-10-10,40.87474822998047,6063.52001953125
2017-10-11,41.07970428466797,6081.25
2017-10-12,41.088619232177734,6069.990234375
2017-10-13,41.15099334716797,6092.4501953125
2017-10-16,41.5430793762207,6114.52978515625
2017-10-17,41.45396423339844,6122.60986328125
2017-10-18,41.3470344543457,6114.35009765625
2017-10-19,41.51633834838867,6092.6201171875
2017-10-20,41.3292121887207,6108.81982421875
2017-10-23,41.2757453918457,6067.830078125
2017-10-24,41.15099334716797,6080.22021484375
2017-10-25,41.03514862060547,6055.0400390625
2017-10-26,41.19554138183594,6037.8701171875
2017-10-27,41.05297088623047,6213.47021484375
2017-10-30,40.865840911865234,6227.58984375
2017-10-31,40.972774505615234,6248.56005859375
2017-11-01,40.81237030029297,6248.64990234375
2017-11-02,40.883663177490234,6236.39013671875
2017-11-03,40.9638671875,6295.580078125
2017-11-06,40.518314361572266,6313.60986328125
2017-11-07,40.9371337890625,6320.77978515625
2017-11-08,41.15099334716797,6345.81005859375
2017-11-09,41.19554138183594,6312.2099609375
2017-11-10,41.47178268432617,6309.06982421875
2017-11-13,41.63219451904297,6316.18017578125
2017-11-14,42.26486587524414,6293.64013671875
2017-11-15,41.71238708496094,6258.35986328125
2017-11-16,41.4807014465332,6339.14013671875
2017-11-17,40.7321662902832,6314.509765625
2017-11-20,40.5093994140625,6308.60986328125
2017-11-21,40.794551849365234,6378.6298828125
2017-11-22,40.848018646240234,6386.1201171875
2017-11-24,40.883663177490234,6409.2900390625
2017-11-27,40.901485443115234,6405.97021484375
2017-11-28,40.839111328125,6422.56005859375
2017-11-29,40.545047760009766,6311.3798828125
2017-11-30,41.120025634765625,6365.56005859375
2017-12-01,41.299713134765625,6337.8701171875
2017-12-04,41.533287048339844,6263.7001953125
2017-12-05,41.560237884521484,6265.10986328125
2017-12-06,41.73094177246094,6293.0498046875
2017-12-07,41.12900924682617,6316.27978515625
2017-12-08,40.706756591796875,6344.56982421875
2017-12-11,40.7247200012207,6393.89013671875
2017-12-12,40.68879318237305,6383.64990234375
2017-12-13,41.236820220947266,6394.669921875
2017-12-14,41.35361099243164,6389.91015625
2017-12-15,41.49734878540039,6466.31982421875
2017-12-18,41.26377487182617,6513.27001953125
2017-12-19,41.44344711303711,6480.669921875
2017-12-20,41.398529052734375,6472.47998046875
2017-12-21,40.96728515625,6472.68994140625
2017-12-22,40.95831298828125,6465.169921875
2017-12-26,41.15596008300781,6433.16015625
2017-12-27,41.26377487182617,6435.14990234375
2017-12-28,41.07510757446289,6441.419921875
2017-12-29,41.21885299682617,6396.419921875
2018-01-02,40.91339111328125,6511.33984375
2018-01-03,40.823551177978516,6575.7998046875
2018-01-04,41.398529052734375,6584.580078125
2018-01-05,41.38954544067383,6653.2900390625
2018-01-08,41.326656341552734,6676.6298828125
2018-01-09,41.533287048339844,6677.93994140625
2018-01-10,41.38954544067383,6662.66015625
2018-01-11,41.36259078979492,6708.490234375
2018-01-12,41.461421966552734,6758.5400390625
2018-01-16,41.80281448364258,6737.14013671875
2018-01-17,42.06334686279297,6810.27978515625
2018-01-18,42.117252349853516,6811.3798828125
2018-01-19,42.368812561035156,6834.330078125
2018-01-22,42.56644821166992,6906.27978515625
2018-01-23,42.62934875488281,6963.4599609375
2018-01-24,42.97073745727539,6919.35009765625
2018-01-25,42.97971725463867,6916.2998046875
2018-01-26,43.59962463378906,7022.97021484375
2018-01-29,42.85395431518555,6988.31982421875
2018-01-30,42.593406677246094,6930.72998046875
2018-01-31,42.75511932373047,6949.990234375
2018-02-01,42.62934875488281,6901.5
2018-02-02,41.98249435424805,6760.2900390625
2018-02-05,40.329429626464844,6495.919921875
2018-02-06,40.13178253173828,6665.97998046875
2018-02-07,40.032958984375,6582.02001953125
2018-02-08,38.721282958984375,6306.10009765625
2018-02-09,38.748233795166016,6412.68017578125
2018-02-12,39.502891540527344,6523.85009765625
2018-02-13,39.70054244995117,6553.85986328125
2018-02-14,39.61968231201172,6675.02978515625
2018-02-15,40.23060607910156,6794.919921875
2018-02-16,40.41028594970703,6770.66015625
2018-02-20,39.5208625793457,6779.68994140625
2018-02-21,38.9368896484375,6759.259765625
2018-02-22,39.09861373901367,6761.85009765625
2018-02-23,39.56578063964844,6896.60009765625
2018-02-26,39.55679702758789,6989.10009765625
2018-02-27,39.18844985961914,6900.35009765625
2018-02-28,38.8290901184082,6854.419921875
2018-03-01,39.017757415771484,6750.5400390625
2018-03-02,39.27829360961914,6811.0400390625
2018-03-05,39.4310188293457,6881.27978515625
2018-03-06,39.46695327758789,6913.02001953125
2018-03-07,39.368125915527344,6929.39013671875
2018-03-08,39.93412780761719,6966.43017578125
2018-03-09,40.26654052734375,7101.18017578125
2018-03-12,40.00600814819336,7131.1201171875
2018-03-13,40.04194259643555,7046.509765625
2018-03-14,39.67939758300781,7040.97998046875
2018-03-15,39.5797004699707,7030.97021484375
2018-03-16,39.38936996459961,7019.9501953125
2018-03-19,39.20810317993164,6864.8798828125
2018-03-20,39.11747360229492,6885.919921875
2018-03-21,38.97245407104492,6853.4501953125
2018-03-22,38.754940032958984,6682.259765625
2018-03-23,38.365211486816406,6508.08984375
2018-03-26,38.691490173339844,6753.830078125
2018-03-27,38.87274932861328,6529.83984375
2018-03-28,39.262489318847656,6460.81005859375
2018-03-29,39.362178802490234,6581.1298828125
2018-04-02,38.673362731933594,6390.83984375
2018-04-03,39.316871643066406,6458.830078125
2018-04-04,40.0963134765625,6560.06005859375
2018-04-05,40.241329193115234,6594.83984375
2018-04-06,39.80628204345703,6433.2099609375
2018-04-09,39.72471618652344,6472.33984375
2018-04-10,39.86973571777344,6615.8701171875
2018-04-11,39.86973571777344,6583.43994140625
2018-04-12,39.905982971191406,6656.259765625
2018-04-13,40.341026306152344,6628.33984375
2018-04-16,40.4951057434082,6675.18017578125
2018-04-17,40.67637252807617,6816.3701171875
2018-04-18,40.341026306152344,6833.2099609375
2018-04-19,40.159759521484375,6774.89013671875
2018-04-20,39.64315414428711,6667.75
2018-04-23,39.86067199707031,6648.7998046875
2018-04-24,39.03589630126953,6509.0498046875
2018-04-25,38.455848693847656,6513.93994140625
2018-04-26,38.74587631225586,6649.64990234375
2018-04-27,39.25343322753906,6656.35009765625
2018-04-30,39.16279220581055,6605.56982421875
2018-05-01,38.60086441040039,6681.9599609375
2018-05-02,38.12050247192383,6644.47998046875
2018-05-03,37.966426849365234,6643.47998046875
2018-05-04,38.39240264892578,6769.1201171875
2018-05-07,38.1930046081543,6821.8701171875
2018-05-08,37.8939208984375,6815.47998046875
2018-05-09,37.866729736328125,6893.2099609375
2018-05-10,38.229270935058594,6963.5498046875
2018-05-11,38.1930046081543,6952.56005859375
2018-05-14,38.10237121582031,6964.3701171875
2018-05-15,37.812347412109375,6888.5400390625
2018-05-16,37.65826416015625,6929.97021484375
2018-05-17,38.3380241394043,6901.6298828125
2018-05-18,38.229270935058594,6866.25
2018-05-21,38.43771743774414,6905.52978515625
2018-05-22,38.29270553588867,6893.6201171875
2018-05-23,38.42866516113281,6953.6298828125
2018-05-24,38.35615539550781,6949.7001953125
2018-05-25,38.42866516113281,6960.919921875
2018-05-29,38.68243408203125,6926.5400390625
2018-05-30,39.09028625488281,6976.3701171875
2018-05-31,38.97245407104492,6967.72998046875
2018-06-01,39.08122253417969,7083.93017578125
2018-06-04,39.416561126708984,7143.56982421875
2018-06-05,39.0721549987793,7166.75
2018-06-06,39.38936996459961,7210.080078125
2018-06-07,39.371246337890625,7152.830078125
2018-06-08,39.83348083496094,7152.6201171875
2018-06-11,39.99661636352539,7168.47998046875
2018-06-12,40.250389099121094,7209.18017578125
2018-06-13,40.04194259643555,7205.259765625
2018-06-14,39.849910736083984,7279.58984375
2018-06-15,40.343692779541016,7255.759765625
2018-06-18,39.82247543334961,7251.41015625
2018-06-19,39.868194580078125,7228.0400390625
2018-06-20,39.55729675292969,7280.7001953125
2018-06-21,39.401851654052734,7217.490234375
2018-06-22,39.54814910888672,7197.509765625
2018-06-25,39.849910736083984,7038.169921875
2018-06-26,39.621307373046875,7068.2001953125
2018-06-27,39.3835563659668,6969.669921875
2018-06-28,39.74932098388672,7031.60009765625
2018-06-29,40.10594177246094,7040.7998046875
2018-07-02,40.00535583496094,7097.81982421875
2018-07-03,40.22481918334961,7014.5498046875
2018-07-05,40.83747100830078,7101.0498046875
2018-07-06,40.819183349609375,7207.330078125
2018-07-09,40.59972381591797,7276.0
2018-07-10,41.120941162109375,7282.60009765625
2018-07-11,40.95634841918945,7243.97998046875
2018-07-12,40.84661102294922,7366.25
2018-07-13,40.910621643066406,7375.81982421875
